[15.6  0.   0. ]
[ 6.30000000e+00 -1.82352941e-01 -3.57554787e-03]
[ 5.79655172e+00 -8.39080460e-03  2.89936894e-03]
[ 5.57000000e+00 -8.39080460e-03 -4.11572782e-15]
[ 3.14000000e+00 -5.52272727e-02 -1.06446518e-03]
[ 2.37000000e+00 -1.92500000e-02  8.99431818e-04]
[ 2.15011628e+00 -3.60465116e-03  2.56481128e-04]
[ 2.06000000e+00 -3.60465116e-03 -5.24753851e-16]
[ 1.92496183e+00 -2.21374046e-03  2.28018148e-05]
[ 1.78992366e+00 -2.21374046e-03  5.68761795e-20]
[ 1.77000000e+00 -2.21374046e-03  2.83339613e-14]
[ 1.73187500e+00 -6.25000000e-04  2.60449255e-05]
[ 1.70000000e+00 -6.25000000e-04 -4.88953921e-20]
[1.84412088e+00 2.36263736e-03 4.89776617e-05]
[1.98824176e+00 2.36263736e-03 5.68761795e-20]
[2.13000000e+00 2.36263736e-03 7.28511580e-16]
[2.31395604e+00 2.96703297e-03 9.74831620e-06]
[ 2.48901099e+00  2.96703297e-03 -2.50219160e-15]
[2.67000000e+00 2.96703297e-03 1.63980424e-15]
[3.21000000e+00 2.16000000e-02 7.45318681e-04]
[ 2.94000000e+00 -9.64285714e-03 -1.11581633e-03]
[3.42000000e+00 1.17073171e-02 5.20735956e-04]
[4.23000000e+00 1.52830189e-02 6.74660716e-05]
[ 5.04706422e+00  1.33944954e-02 -3.09594009e-05]
[5.69000000e+00 1.33944954e-02 2.70392794e-15]
[ 6.36971429e+00  1.11428571e-02 -3.69121028e-05]
[6.86000000e+00 1.11428571e-02 3.81099035e-15]
[ 3.53000000e+00 -7.92857143e-02 -2.15306122e-03]
[ 3.06000000e+00 -1.04444444e-02  1.52980600e-03]
[3.18000000e+00 2.44897959e-03 2.63131103e-04]
[4.48000000e+00 6.19047619e-02 2.83122773e-03]
[ 2.37000000e+00 -3.98113208e-02 -1.91917137e-03]
[3.06146341e+00 1.15243902e-02 8.55595183e-04]
[3.76445122e+00 1.15243902e-02 1.65737187e-15]
[4.26000000e+00 1.15243902e-02 4.42999965e-16]
[ 3.34631579e+00 -1.47368421e-02 -4.23568264e-04]
[ 2.86000000e+00 -1.47368421e-02  5.18330118e-15]
[ 2.55500000e+00 -5.00000000e-03  1.59620362e-04]
[ 2.44000000e+00 -5.00000000e-03 -6.03382079e-19]
[4.02795918e+00 2.56122449e-02 4.93745885e-04]
[4.95000000e+00 2.56122449e-02 4.23127968e-15]
[ 3.74936508e+00 -1.96825397e-02 -7.42537452e-04]
[ 3.71000000e+00 -1.96825397e-02 -1.27049066e-12]
[5.21000000e+00 2.77777778e-02 8.78894768e-04]
[ 5.71000000e+00  1.13636364e-02 -3.73048669e-04]
[ 3.91000000e+00 -3.27272727e-02 -8.01652893e-04]
[ 3.01000000e+00 -3.60000000e-02 -1.30909091e-04]
[ 2.68000000e+00 -1.83333333e-02  9.81481481e-04]
[3.72000000e+00 4.33333333e-02 2.56944444e-03]
[ 4.16000000e+00  2.09523810e-02 -1.06575964e-03]
[4.98000000e+00 2.56250000e-02 1.46019345e-04]
[ 2.16568182e+00 -4.61363636e-02 -1.17641580e-03]
[ 9.20000000e-01 -4.61363636e-02  3.59820198e-15]
[ 7.70744681e-01 -2.44680851e-03  7.16222215e-04]
[ 6.90000000e-01 -2.44680851e-03  9.02713300e-17]
[7.62619048e-01 1.19047619e-03 5.96276181e-05]
[7.90000000e-01 1.19047619e-03 1.23957306e-16]
[ 7.90000000e-01  0.00000000e+00 -1.95160031e-05]
[0.79 0.   0.  ]
[8.00166667e-01 1.66666667e-04 2.73224044e-06]
[ 8.10000000e-01  1.66666667e-04 -1.88340618e-16]
[8.70000000e-01 1.93548387e-03 5.70586195e-05]
[ 9.00000000e-01  1.07142857e-03 -3.08591178e-05]
[ 8.10000000e-01 -2.30769231e-03 -8.66441251e-05]
[8.30000000e-01 6.45161290e-04 9.52533419e-05]
[ 7.40000000e-01 -3.21428571e-03 -1.37837393e-04]
[7.60000000e-01 7.14285714e-04 1.40306122e-04]
[9.70389610e-01 3.50649351e-03 4.65367965e-05]
[ 1.03000000e+00  3.50649351e-03 -1.73020809e-15]
[ 9.69753086e-01 -9.87654321e-04 -7.36745545e-05]
[ 9.50000000e-01 -9.87654321e-04 -8.19830315e-16]
[ 8.98085106e-01 -8.51063830e-04  2.23918838e-06]
[ 8.70000000e-01 -8.51063830e-04 -3.01145367e-17]
[9.80000000e-01 3.33333333e-03 1.26799914e-04]
[ 8.80000000e-01 -7.14285714e-03 -7.48299320e-04]
[9.60000000e-01 2.85714286e-03 3.57142857e-04]
[ 9.30000000e-01 -1.07142857e-03 -1.40306122e-04]
[1.19000000e+00 9.28571429e-03 3.69897959e-04]
[ 1.02000000e+00 -6.07142857e-03 -5.48469388e-04]
[25.45  0.    0.  ]
[16.6        -2.95       -0.98333333]
[ 3.30647059 -0.21441176  0.04412239]
[ 2.02000000e+00 -2.14411765e-01 -1.43362174e-13]
[ 1.27       -0.0326087   0.00790448]
[1.63       0.02571429 0.00416593]
[ 2.01476923e+00  6.30769231e-03 -3.18140876e-04]
[ 2.04000000e+00  6.30769231e-03 -5.12148917e-14]
[ 9.11044776e-01 -1.82089552e-02 -3.95429799e-04]
[ 8.20000000e-01 -1.82089552e-02  1.74159298e-14]
[1.07000000e+00 8.33333333e-03 8.84742952e-04]
[1.95000000e+00 3.25925926e-02 8.98491084e-04]
[ 2.40000000e+00  1.60714286e-02 -5.90041572e-04]
[ 1.92000000e+00 -1.71428571e-02 -1.18622449e-03]
[ 1.84000000e+00 -2.85714286e-03  5.10204082e-04]
[ 1.74000000e+00 -3.57142857e-03 -2.55102041e-05]
[ 1.68000000e+00 -2.22222222e-03  4.99706055e-05]
[ 1.59000000e+00 -3.10344828e-03 -3.03871053e-05]
[ 1.33000000e+00 -9.28571429e-03 -2.20795215e-04]
[1.59000000e+00 9.28571429e-03 6.63265306e-04]
[2.94000000e+00 3.64864865e-02 7.35156005e-04]
[ 1.78       -0.04461538 -0.0031193 ]
[2.10000000e+00 1.18518519e-02 2.09137913e-03]
[ 2.15000000e+00  1.78571429e-03 -3.59504913e-04]
[ 2.01000000e+00 -4.82758621e-03 -2.28044845e-04]
[2.01000000e+00 0.00000000e+00 1.78799489e-04]
[ 1.78000000e+00 -8.21428571e-03 -2.93367347e-04]
[ 1.49000000e+00 -8.28571429e-03 -2.04081633e-06]
[2.08000000e+00 2.10714286e-02 1.04846939e-03]
[ 1.52000000e+00 -2.00000000e-02 -1.46683673e-03]
