[-0.17079357  0.0373848   0.06552769]
[-0.25847341  0.00438024  0.06472344]
[-0.26321989  0.03586613  0.06617985]
[-0.26535581  0.03586613  0.06552769]
[-0.2882657   0.02738906  0.06528826]
[-0.29552521  0.03390069  0.06573   ]
[-0.29759827  0.03673239  0.06558538]
[-0.29844788  0.03673239  0.06552769]
[-0.29972101  0.03698413  0.06553282]
[-0.30099414  0.03698413  0.06552769]
[-0.30118198  0.03698413  0.06552769]
[-0.30154142  0.03727168  0.06553355]
[-0.30184193  0.03727168  0.06552769]
[-0.30048317  0.03781242  0.06553871]
[-0.29912441  0.03781242  0.06552769]
[-0.29778792  0.03781242  0.06552769]
[-0.29605359  0.03792181  0.06552989]
[-0.29440319  0.03792181  0.06552769]
[-0.29269683  0.03792181  0.06552769]
[-0.28760575  0.04129424  0.06569534]
[-0.29015129  0.03563951  0.06527671]
[-0.28562588  0.03950374  0.06564482]
[-0.27798925  0.04015092  0.06554287]
[-0.27028601  0.03980911  0.06552073]
[-0.26422445  0.03980911  0.06552769]
[-0.25781615  0.03940158  0.06551939]
[-0.25319377  0.03940158  0.06552769]
[-0.2845888   0.02303466  0.0650434 ]
[-0.28901994  0.03549443  0.06587179]
[-0.28788858  0.03782805  0.06558688]
[-0.27563226  0.04858912  0.06616452]
[-0.29552521  0.03017924  0.06509601]
[-0.28900614  0.03947063  0.06572014]
[-0.28237841  0.03947063  0.06552769]
[-0.27770641  0.03947063  0.06552769]
[-0.28632057  0.03471754  0.06543242]
[-0.29090552  0.03471754  0.06552769]
[-0.29378105  0.03647984  0.0655636 ]
[-0.29486526  0.03647984  0.06552769]
[-0.27989408  0.04202043  0.06563875]
[-0.27120113  0.04202043  0.06552769]
[-0.28252064  0.0338224   0.06536067]
[-0.28289178  0.0338224   0.06552769]
[-0.26874987  0.04241238  0.06572538]
[-0.2640359   0.03944154  0.06544378]
[-0.28100619  0.0314614   0.06534738]
[-0.28949133  0.03086906  0.06549825]
